"","Country.Name","X2020_renew_energy_1","X2020_access_to_electrcity_1","X2020_private_investment_1","X2020_gini_index_1","X2020_gdp_current_1","X2020_gdp_growth_1","X2020_gdp_per_capita_1","X2020_gdp_per_capita_growth_1"
"70","Guinea",65.77,44.74542236,76500000,NA,14177835841,4.920266372,1073.659339,2.317241012
"71","Guinea-Bissau",87.22,33.37447357,NA,NA,1431758232,-2.399999999,710.258133,-4.596719957
"72","Equatorial Guinea",6.97,66.67919159,NA,NA,10099157996,-4.241481321,6327.598962,-6.822442154
"73","Greece",20.08,100,NA,33.6,188925995937,-9.004043642,17658.9473,-8.808563835
"74","Grenada",10.36,93.35556793,NA,NA,1043411111,-13.75662226,8437.536782,-14.41148694
"75","Greenland",11.46,100,NA,NA,3082909158,0.1876087938,54693.51141,-0.06478428107
"76","Guatemala",65.46,96.64746857,NA,NA,77715183063,-1.791857695,4609.897258,-3.273321968
"77","Guam",3.61,100,NA,NA,5.886e+09,-11.39218114,34780.86166,-11.71000085
"78","Guyana",12.04,92.29893494,NA,NA,5471256595,43.47955594,6863.074346,43.75870325
"79","Hong Kong SAR China",0.27,100,NA,NA,344943149590,-6.54479911,46109.22999,-6.208755145
"80","Honduras",50.09,93.08769989,75600000,NA,23827859695,-8.964760184,2354.12148,-10.43019024
"81","Croatia",32.37,100,NA,29.5,57624938982,-8.580343021,14236.53525,-8.183444642
"82","Haiti",76.31,46.33651352,NA,NA,14508222518,-3.305505473,1283.141228,-4.55718544
"83","Hungary",14.76,100,NA,29.7,157227094449,-4.535550833,16125.60941,-4.330016567
"84","Indonesia",22.01,96.95,NA,37.6,1059054842712,-2.065511829,3895.618152,-2.885094093
"85","Isle of Man",2.15,100,NA,NA,6684229269,-8.83623207,79530.60548,-8.958801921
"86","India",35.82,96.5,3.321e+09,NA,2671595389576,-5.83105322,1913.219721,-6.72629208
"87","Ireland",13.69,100,NA,29.2,425852281928,6.184538039,85420.19086,5.097385401
"88","Iran",1.03,100,NA,NA,239735486746,3.330288459,2746.419483,2.470892267
"89","Iraq",1.08,100,NA,NA,180924091443,-12.03679309,4251.337253,-14.09023465
"90","Iceland",82.79,100,NA,NA,21553080484,-7.241872034,58813.79698,-8.73526415
"91","Israel",5.61,100,NA,NA,413267669232,-1.857289278,44846.7916,-3.573037419
"92","Italy",18.69,100,NA,35.2,1897210466668,-8.979126097,31918.69349,-8.534686345
"93","Jamaica",11.43,99.70935822,NA,NA,13812421859,-9.9,4897.26477,-10.1128523
"94","Jordan",11.04,99.9,NA,NA,43579916197,-1.606636278,3987.650174,-3.677712354
"95","Japan",8.45,100,NA,NA,5048789595589,-4.278603688,39986.92863,-3.996581849
"96","Kazakhstan",1.78,100,265480000,NA,171082365723,-2.5,9121.636402,-3.757983454
"97","Kenya",72.5,71.49271393,147160000,NA,100657505601,-0.2727663274,1936.250752,-2.256979503
"98","Kyrgyzstan",30.04,99.86511993,NA,29,7780873259,-8.398364296,1182.521506,-10.12044553
"99","Cambodia",51.41,86.4,1e+08,NA,25872797892,-3.096006731,1577.91174,-4.213653755
"100","Kiribati",42.75,91.04476166,NA,NA,177553260.1,-1.657458564,1403.993738,-3.38537208
"101","South Korea",3.63,100,NA,NA,1644312785467,-0.7094153594,31721.29802,-0.8462122378
"102","Kuwait",0.1,100,NA,NA,105948765156,-8.855278885,24297.70114,-7.169356849
"103","Laos",49.91,99.31136322,NA,NA,18981800705,0.5030318297,2593.355097,-0.9709414371
"104","Lebanon",6.71,99.98307037,NA,NA,31712128254,-21.39989969,5599.957523,-19.74842848
"105","Liberia",92.96,27.5597496,NA,NA,3039982500,-2.982491276,597.5296919,-4.933202273
"106","Libya",3.12,69.36826324,NA,NA,46808208747,-29.78714799,7034.658365,-30.68253321
"107","St. Lucia",9.96,100,NA,NA,1.516e+09,-24.36571221,8458.075063,-24.64168662
"108","Liechtenstein",55.21,100,NA,NA,6405765970,NA,165284.4971,NA
"109","Sri Lanka",49.32,99.97409821,NA,NA,84440535699,-4.624515817,3852.389968,-5.129263121
"110","Lesotho",41.42,47.49701309,NA,NA,2117736528,-5.619402426,939.5042491,-6.808444709
"111","Lithuania",31.7,100,NA,36,56914826861,-0.02207374209,20363.92441,-0.04883101076
"112","Luxembourg",20.79,100,NA,33.4,73992591285,-0.7974355892,117370.4969,-2.436809269
"113","Latvia",43.75,100,NA,35.7,34601740323,-2.202985338,18207.13964,-1.514811398
"114","Morocco",10.92,100,1038770000,NA,121347533650,-7.187079577,3258.10498,-8.172741448
"115","Monaco",NA,100,NA,NA,6739642360,-12.96513471,182537.3046,-12.70112125
"116","Moldova",23.66,100,NA,NA,11531967881,-8.27597832,4376.242493,-7.263269768
"117","Madagascar",84.75,32,1.9e+07,NA,13051441203,-7.137671622,462.4042288,-9.414529773
